,survey_id,pack_type,total packs owned,number free,Percent Free,Purchased
224,59,Game Packs,12,0,0.0,12
225,59,Kits,21,1,0.047619047619047616,20
226,59,Stuff Packs,19,0,0.0,19
227,60,Expansion Packs,10,0,0.0,10
228,60,Game Packs,4,0,0.0,4
229,60,Kits,3,0,0.0,3
230,60,Stuff Packs,4,2,0.5,2
231,61,Expansion Packs,13,0,0.0,13
232,61,Game Packs,7,1,0.14285714285714285,6
233,61,Kits,3,3,1.0,0
234,61,Stuff Packs,9,2,0.2222222222222222,7
235,62,Expansion Packs,16,0,0.0,16
236,62,Game Packs,12,0,0.0,12
237,62,Kits,10,0,0.0,10
238,62,Stuff Packs,14,3,0.21428571428571427,11
239,63,Expansion Packs,5,0,0.0,5
240,63,Game Packs,3,0,0.0,3
241,63,Kits,2,1,0.5,1
242,63,Stuff Packs,8,0,0.0,8
243,64,Expansion Packs,9,0,0.0,9
244,64,Game Packs,5,0,0.0,5
245,64,Kits,1,0,0.0,1
246,64,Stuff Packs,2,0,0.0,2
247,65,Expansion Packs,16,0,0.0,16
248,65,Game Packs,11,1,0.09090909090909091,10
249,65,Kits,19,0,0.0,19
250,65,Stuff Packs,20,0,0.0,20
251,66,Expansion Packs,3,0,0.0,3
252,66,Game Packs,3,1,0.3333333333333333,2
253,66,Kits,4,2,0.5,2
254,66,Stuff Packs,6,4,0.6666666666666666,2
255,67,Expansion Packs,16,0,0.0,16
256,67,Game Packs,12,1,0.08333333333333333,11
257,67,Kits,13,3,0.23076923076923078,10
258,67,Stuff Packs,20,0,0.0,20
259,68,Expansion Packs,16,0,0.0,16
260,68,Game Packs,11,0,0.0,11
261,68,Kits,7,1,0.14285714285714285,6
262,68,Stuff Packs,20,0,0.0,20
263,69,Expansion Packs,7,0,0.0,7
264,69,Game Packs,1,0,0.0,1
265,69,Kits,2,1,0.5,1
266,69,Stuff Packs,5,3,0.6,2
267,70,Expansion Packs,16,0,0.0,16
268,70,Game Packs,9,0,0.0,9
269,70,Kits,14,0,0.0,14
270,70,Stuff Packs,14,2,0.14285714285714285,12
271,71,Expansion Packs,16,0,0.0,16
272,71,Game Packs,12,0,0.0,12
273,71,Kits,28,1,0.03571428571428571,27
274,71,Stuff Packs,19,0,0.0,19
275,72,Expansion Packs,16,0,0.0,16
276,72,Game Packs,12,0,0.0,12
277,72,Kits,33,2,0.06060606060606061,31
278,72,Stuff Packs,20,0,0.0,20
279,73,Expansion Packs,9,0,0.0,9
280,73,Game Packs,5,2,0.4,3
281,73,Kits,4,0,0.0,4
282,73,Stuff Packs,4,1,0.25,3
283,74,Expansion Packs,5,0,0.0,5
284,74,Game Packs,3,0,0.0,3
285,74,Kits,1,1,1.0,0
286,74,Stuff Packs,5,0,0.0,5
287,75,Expansion Packs,15,0,0.0,15
288,75,Game Packs,12,0,0.0,12
289,75,Kits,15,1,0.06666666666666667,14
290,75,Stuff Packs,20,0,0.0,20
291,76,Expansion Packs,9,0,0.0,9
292,76,Game Packs,7,0,0.0,7
293,76,Kits,3,2,0.6666666666666666,1
294,76,Stuff Packs,10,3,0.3,7
295,77,Expansion Packs,16,0,0.0,16
296,77,Game Packs,12,0,0.0,12
297,77,Kits,33,0,0.0,33
298,77,Stuff Packs,20,0,0.0,20
299,78,Expansion Packs,4,0,0.0,4
300,78,Game Packs,2,0,0.0,2
301,78,Kits,1,0,0.0,1
302,78,Stuff Packs,5,2,0.4,3
303,79,Expansion Packs,5,0,0.0,5
304,79,Game Packs,2,1,0.5,1
305,79,Kits,2,1,0.5,1
306,79,Stuff Packs,2,2,1.0,0
307,80,Expansion Packs,16,0,0.0,16
308,80,Game Packs,12,0,0.0,12
309,80,Kits,33,1,0.030303030303030304,32
310,80,Stuff Packs,20,0,0.0,20
311,81,Expansion Packs,16,0,0.0,16
312,81,Game Packs,10,0,0.0,10
313,81,Kits,19,0,0.0,19
314,81,Stuff Packs,12,0,0.0,12
315,82,Expansion Packs,13,0,0.0,13
316,82,Game Packs,12,0,0.0,12
317,82,Kits,7,1,0.14285714285714285,6
318,82,Stuff Packs,12,0,0.0,12
319,83,Expansion Packs,2,0,0.0,2
320,83,Kits,1,1,1.0,0
321,83,Stuff Packs,2,1,0.5,1
322,84,Expansion Packs,16,0,0.0,16
323,84,Game Packs,11,0,0.0,11
324,84,Kits,8,2,0.25,6
325,84,Stuff Packs,16,1,0.0625,15
326,85,Expansion Packs,16,0,0.0,16
327,85,Game Packs,12,0,0.0,12
328,85,Kits,33,0,0.0,33
329,85,Stuff Packs,20,0,0.0,20
330,86,Expansion Packs,16,0,0.0,16
331,86,Game Packs,9,0,0.0,9
332,86,Kits,4,0,0.0,4
333,86,Stuff Packs,7,0,0.0,7
334,87,Expansion Packs,15,0,0.0,15
335,87,Game Packs,11,0,0.0,11
336,87,Kits,5,2,0.4,3
337,87,Stuff Packs,18,1,0.05555555555555555,17
338,88,Expansion Packs,10,0,0.0,10
339,88,Game Packs,5,0,0.0,5
340,88,Kits,1,1,1.0,0
341,88,Stuff Packs,7,3,0.42857142857142855,4
342,89,Expansion Packs,15,0,0.0,15
343,89,Game Packs,9,0,0.0,9
344,89,Kits,3,2,0.6666666666666666,1
345,89,Stuff Packs,14,5,0.35714285714285715,9
346,90,Expansion Packs,8,4,0.5,4
347,90,Game Packs,2,1,0.5,1
348,90,Kits,1,0,0.0,1
349,90,Stuff Packs,5,3,0.6,2
350,91,Expansion Packs,11,0,0.0,11
351,91,Game Packs,8,0,0.0,8
352,91,Kits,3,2,0.6666666666666666,1
353,91,Stuff Packs,9,3,0.3333333333333333,6
354,92,Expansion Packs,16,0,0.0,16
355,92,Game Packs,12,0,0.0,12
356,92,Kits,33,1,0.030303030303030304,32
357,92,Stuff Packs,20,0,0.0,20
358,93,Expansion Packs,16,0,0.0,16
359,93,Game Packs,12,0,0.0,12
360,93,Kits,22,0,0.0,22
361,93,Stuff Packs,20,0,0.0,20
362,94,Expansion Packs,15,0,0.0,15
363,94,Game Packs,10,0,0.0,10
364,94,Kits,31,0,0.0,31
365,94,Stuff Packs,19,0,0.0,19
366,95,Expansion Packs,16,0,0.0,16
367,95,Game Packs,12,0,0.0,12
368,95,Kits,33,0,0.0,33
369,95,Stuff Packs,20,0,0.0,20
370,96,Expansion Packs,15,0,0.0,15
371,96,Game Packs,12,0,0.0,12
372,96,Kits,25,1,0.04,24
373,96,Stuff Packs,20,0,0.0,20
374,97,Expansion Packs,16,0,0.0,16
375,97,Game Packs,12,0,0.0,12
376,97,Kits,32,0,0.0,32
377,97,Stuff Packs,20,0,0.0,20
378,98,Expansion Packs,8,0,0.0,8
379,98,Game Packs,3,0,0.0,3
380,98,Kits,4,4,1.0,0
381,98,Stuff Packs,8,3,0.375,5
382,99,Expansion Packs,4,0,0.0,4
383,99,Game Packs,4,0,0.0,4
384,99,Kits,5,1,0.2,4
385,99,Stuff Packs,6,1,0.16666666666666666,5
386,100,Expansion Packs,15,0,0.0,15
387,100,Game Packs,6,2,0.3333333333333333,4
388,100,Kits,1,0,0.0,1
389,100,Stuff Packs,7,5,0.7142857142857143,2
390,101,Expansion Packs,16,0,0.0,16
391,101,Game Packs,12,0,0.0,12
392,101,Kits,33,2,0.06060606060606061,31
393,101,Stuff Packs,20,0,0.0,20
394,102,Expansion Packs,15,0,0.0,15
395,102,Game Packs,12,0,0.0,12
396,102,Kits,21,0,0.0,21
397,102,Stuff Packs,20,0,0.0,20
398,103,Expansion Packs,9,1,0.1111111111111111,8
399,103,Game Packs,6,1,0.16666666666666666,5
400,103,Stuff Packs,3,0,0.0,3
401,104,Expansion Packs,9,0,0.0,9
402,104,Game Packs,5,0,0.0,5
